gene,condition,activation_coef_rank,polarization_coef_rank,is_known_polarization_reg
FRG1,Stim48hr,0.1842931937172774,0.4706806282722513,False
FRG1,Stim8hr,0.7908813041263373,0.0809984717269485,False
FRMD4A,Rest,0.3260359655981235,0.4675527756059421,False
FRMD4A,Stim48hr,0.3193717277486911,0.5421465968586388,False
FRMD4A,Stim8hr,0.9070300560366784,0.2475802343352012,False
FRS3,Rest,0.3846755277560594,0.0200677612718269,False
FRS3,Stim48hr,0.9599476439790576,0.0120418848167539,False
FRS3,Stim8hr,0.7534386143657666,0.0094243504839531,False
FTO,Rest,0.3377638780297107,0.6619755016940317,False
FTO,Stim48hr,0.9683246073298428,0.3973821989528796,False
FTO,Stim8hr,0.9225674987264392,0.6003565970453387,False
FUBP1,Rest,0.0867865519937451,0.5123794631222309,False
FUBP1,Stim48hr,0.7717277486910995,0.7081151832460733,False
FUBP1,Stim8hr,0.260825267447784,0.6245542536933265,False
FUNDC1,Rest,0.2402918947094084,0.6869950482147511,False
FUNDC1,Stim48hr,0.1358638743455497,0.1434554973821989,False
FUNDC1,Stim8hr,0.292919001528273,0.8680590932246561,False
FUNDC2,Rest,0.3468855876987229,0.7018504039614282,False
FUNDC2,Stim48hr,0.0193717277486911,0.9089005235602096,False
FUNDC2,Stim8hr,0.119460010188487,0.9304635761589404,False
FUOM,Rest,0.2131873859786291,0.417774302840761,False
FUOM,Stim48hr,0.812303664921466,0.631413612565445,False
FUOM,Stim8hr,0.0331125827814569,0.8876719307182883,False
FUT4,Rest,0.216836069846234,0.1863434975241073,False
FUT4,Stim48hr,0.1997382198952879,0.4769633507853403,False
FUT4,Stim8hr,0.3316352521650534,0.5855832908813041,False
FUT8,Rest,0.1839979150377899,0.6846494657284337,False
FUT8,Stim48hr,0.0780104712041884,0.9774869109947644,False
FUT8,Stim8hr,0.4426897605705552,0.5519612837493633,False
FXN,Stim8hr,0.1288843606724401,0.8079470198675497,False
FXR1,Rest,0.4175136825645035,0.7524107375553818,False
FXR1,Stim48hr,0.9054973821989528,0.1115183246073298,False
FXR1,Stim8hr,0.1635252165053489,0.4946510443199184,False
FZD6,Rest,0.6158457127964556,0.328381548084441,False
FZD6,Stim48hr,0.9856020942408376,0.1246073298429319,False
FZD6,Stim8hr,0.9849719816607234,0.1892511462047885,False
FZR1,Rest,0.0336200156372165,0.562157935887412,False
FZR1,Stim48hr,0.5821989528795811,0.4871727748691099,False
FZR1,Stim8hr,0.0061130922058074,0.9164544065206316,False
G3BP1,Rest,0.7073234297628356,0.5856137607505864,False
G3BP1,Stim48hr,0.9044502617801048,0.5018324607329843,False
G3BP1,Stim8hr,0.9381049414161996,0.1535914416709118,False
GAB2,Rest,0.801667969768048,0.9525671097211365,False
GAB2,Stim48hr,0.7890052356020942,0.6175392670157068,False
GAB2,Stim8hr,0.3433520122261844,0.9322465613856342,False
GABARAPL1,Rest,0.1894709408391973,0.5618973156111545,False
GABARAPL1,Stim48hr,0.3104712041884817,0.4358638743455497,False
GABARAPL1,Stim8hr,0.2857870606214977,0.6400916963830872,False
GABPA,Rest,0.6971592389887933,0.3497524107375553,False
GABPA,Stim48hr,0.1337696335078534,0.5696335078534032,False
GABPA,Stim8hr,0.5272542027508915,0.6795720835455935,False
GABPB1,Rest,0.948657805577274,0.0375293197810789,False
GABPB1,Stim48hr,0.493717277486911,0.1882198952879581,False
GABPB1,Stim8hr,0.8003056546102904,0.0277636271013754,False
GADD45G,Rest,0.9384936148032316,0.3184779775866562,False
GADD45G,Stim48hr,0.568848167539267,0.5321989528795812,False
GADD45G,Stim8hr,0.9826795720835456,0.3339276617422312,False
GADD45GIP1,Rest,0.5595517331248371,0.6106333072713057,False
GADD45GIP1,Stim48hr,0.6222513089005236,0.3835078534031413,False
GADD45GIP1,Stim8hr,0.6640346408558329,0.3978604177279674,False
GALK2,Rest,0.3659108678655199,0.17878550951264,False
GALK2,Stim48hr,0.1518324607329843,0.8366492146596859,False
GALK2,Stim8hr,0.3023433520122262,0.4679062659195109,False
GALNT4,Rest,0.7657023716445139,0.2806880375293197,False
GALNT4,Stim48hr,0.0099476439790575,0.3458115183246073,False
